$, Claw;OnCreativity (2012)  [Himself]
Aagaard, Carl Powl;The Powls i (k)nibe - koncertgyseren 'Flaskernes nat' (2003) (V)  [Himself - Singer/Musician (guitarist)]
Aagaard, Casper;Følelsen glæde har mere end én modsætning (2014)  [Carl]  <2> Under Overfladen (2015)  [Kira's store bror]
Aagaard, Cecil;Ti gutter og en gjente (1944)  [Brannmannen]  <18>
Aagaard, Chris;Top Chef Masters (2009) {Date Night (#3.7)}  [Himself -Guest Diner]  <9>
Aagaard, Egon;Jeg fandt en sang på vejen (1977) (TV)  [Himself] Næste stop paradis (1980)  [Harmonikaspiller]  <17> Matador (1978) {Brikkerne (#3.2)}  [Jernbanearbejder] Matador (1978) {Et nyt liv (#3.1)}  [Jernbanearbejder] Matador (1978) {Hen til kommoden (#2.3)}  [Frederik, jernbanearbejder]  <22> Matador (1978) {I disse tider (#2.4)}  [Jernbanearbejder] Matador (1978) {I klemme (#2.5)}  [Frederik, jernbanearbejder]  <28> Matador (1978) {Komme fremmede (#2.2)}  [Frederik, jernbanearbejder]  <27>
Aagaard, Enoch;Arbejdet adler (1914)  [Count von Lendorff] En stærkere magt (1914)  [Rée]
Aagaard, Henrik;Restaurangutang (2011)  [Lasnifir]
Aagaard, Henrik Buus;Aftenshowet (2007) {(2014-05-01)}  [Himself]  <6> Bingo Banko (2010) {(#1.1)}  [Himself]
Aagaard, Jan;Vi er både rigtig og kloge (1975)  [Boy]
Aagaard, Joakim;Lykkens Budbringer (1918)  [George Ulmer]
Aagaard, Kaj;Pagten (2009) {(#1.15)}  [Revisor]
Aagaard, Lasse;Bananen - Skræl den før din nabo (1990)  [Dunke]  <5>
Aagaard, Petter;Frokost-TV (2003) {Tribute til Prince (#12.28)}  [Himself - Gjest]
Aagaard-Hansen, Jens;Rock for Afrika (1985) (TV)  [Himself - Medical Doctor]  <43>
Aagaard-Williams, Sebastian;Husk lige håndtasken - Nytårsaften med Ole (2003) (TV)  (as B-Boys)  [Himself - Performer]  <3> Mgp 2003 - de unges melodi grand prix (2003) (TV)  [Himself - Participant/Performer - Finalist (3rd place) (performing 'Vi gi'r den op')]  <18> Møgunger (2003)  [Svend]  <7> Oskar & Josefine (2005)  [Jesus]  <24> 19direkte (1999) {(#5.4)}  (as Sebastian)  [Himself] Amigo (2004) {(#1.4)}  [Himself - Performer] Go' aften Danmark (2002) {(2003-08-05)}  (as B-Boys)  [Himself] Go' aften Danmark (2002) {(2003-12-17)}  [Himself] Go' aften Danmark (2002) {(2004-05-10)}  [Himself] Go' aften Danmark (2002) {(2005-12-19)}  [Himself] Go' aften Danmark (2002) {(2006-03-17)}  [Himself - B-Boys] Go' aften Danmark (2002) {(2007-02-06)}  [Himself] Go' morgen Danmark (1996) {(2003-08-06)}  (as B-Boys)  [Himself] Go' morgen Danmark (1996) {(2003-12-10)}  [Himself] Go' morgen Danmark (1996) {(2003-12-23)}  [Himself] Hvem vil være millionær? (1999) {(2009-12-14)}  (as Sebastian Aagaard)  [Himself]  <2> Jeopardy! (1995) {Jule-Jeopardy! (#17.20)}  [Himself - Participant] Jesus & Josefine (2003) {Bag døren (#1.17)}  [Jesus]  <3> Jesus & Josefine (2003) {En nissehue til Jesus (#1.16)}  [Jesus]  <3> Jesus & Josefine (2003) {Et besøg fra de varme lande (#1.12)}  [Jesus]  <3> Jesus & Josefine (2003) {Find krybben (#1.14)}  [Jesus]  <3> Jesus & Josefine (2003) {Gladiatoren (#1.9)}  [Jesus]  <3> Jesus & Josefine (2003) {Gran i håret (#1.24)}  [Jesus]  <3> Jesus & Josefine (2003) {Gå på vandet (#1.7)}  [Jesus]  <3> Jesus & Josefine (2003) {Hjemkomsten (#1.22)}  [Jesus]  <3> Jesus & Josefine (2003) {Hva' for en galej? (#1.10)}  [Jesus]  <3> Jesus & Josefine (2003) {Jesus er forelsket i mig (#1.8)}  [Jesus]  <3> Jesus & Josefine (2003) {Jesus til psykolog (#1.15)}  [Jesus]  <3> Jesus & Josefine (2003) {Miraklet (#1.13)}  [Jesus]  <3> Jesus & Josefine (2003) {Nazaret saft (#1.5)}  [Jesus]  <3> Jesus & Josefine (2003) {Og de blinde skal se (#1.6)}  [Jesus]  <3> Jesus & Josefine (2003) {Slangen i ørkenen (#1.21)}  [Jesus]  <3> Jesus & Josefine (2003) {Stærkere end jern (#1.11)}  [Jesus]  <3> Jesus & Josefine (2003) {Søg og i skal finde (#1.20)}  [Jesus]  <3> Jesus, Josefine og budskabet bag (2003)  [Himself/Jesus] Junior (2003) {(#2.13)}  (as B-Boys)  [Himself] Junior (2003) {(#2.14)}  (as Sebastian)  [Himself] Junior (2003) {(2003-11-26)}  [Himself] Masterchef (2011) {(#2.1)}  [Himself - Participant] Masterchef (2011) {(#2.13)}  [Himself - Participant] Masterchef (2011) {(#2.4)}  [Himself - Participant] Noas ark (2004) {(#1.4)}  [Himself] Nu' det jul (2003) {(#1.2)}  (as B-Boys)  [Himself - Performer] Snurre Snups søndagsklub (1994) {(#19.12)}  (as B-Boys)  [Himself - Performer] Snurre Snups søndagsklub (1994) {(#19.16)}  [Himself] Snurre Snups søndagsklub (1994) {(#19.2)}  (as B-Boys)  [Himself - Performer] Snurre Snups søndagsklub (1994) {(#19.8)}  [Himself/Svend] Snurre Snups søndagsklub (1994) {(#20.15)}  (as B-Boys)  [Himself] Snurre Snups søndagsklub (1994) {(#20.16)}  (as B-Boys)  [Himself - Performer] Snurre Snups søndagsklub (1994) {(#21.10)}  (as B-Boys)  [Himself - Performer] Snurre Snups søndagsklub (1994) {(#21.13)}  (also archive footage)  [Himself/Jesus] Snurre Snups søndagsklub (1994) {(#22.12)}  (as B-Boys)  [Himself - Performer] Snurre Snups søndagsklub (1994) {(#22.13)}  (as B-Boys)  [Himself - Performer] Snurre Snups søndagsklub (1994) {(2005-11-20)}  [Himself] Snurre Snups søndagsklub (1994) {Snurre Snups juleklub (#21.17)}  (as B-Boys)  [Himself - Co-host/Performer] Snurre Snups søndagsklub (1994) {Snurre Snups juleklub (#21.18)}  (as B-Boys)  [Himself - Co-host/Performer] Snurre Snups søndagsklub (1994) {Snurre Snups juleklub (#21.19)}  (as B-Boys)  [Himself - Co-host/Performer] Tjekpoint Teddy (2006) {(#1.2)}  [Himself - B-Boys]
Aagaga, Benjamin Ikhine;Johan Falk: Kodnamn: Lisa (2012)  [Toni]  <43> Johan Falk: Organizatsija Karayan (2012) (V)  [Toni]  <40>
Aagard Østvig, Karl;Villmarkens lov (1944)  [Den nye oppasseren]  <6>
Aagard, Earl;The Evidence (2001) {The Darwin Dilemma (#1.10)}  (as Earl Aagard Ph.D.)  [Himself - Interview Guest]
Aage Brandt, Per;Five Pairs of Shoes (2005)  [Himself - Professor i semiotik] Talk Like Whales (1993)  <3>
Aage, Bengt;Höhenfieber (1925) Menschen im Nebel (1924)
Aagenæs, Haakon;Horisont (2006)  (as Håkon Aagenæs)  [Per-Roar]  <2>
Aagesen, Eric;Bert (2006)  [Director Kid]
Aagesen, Kristoffer Bjerre;Winnie og Karina - The Movie (2009)  (as Kristoffer Aagesen)  [Praktikanten]  <27> Klovn (2005) {Bedragsholm slot (#6.6)}  [Klapperdreng] Manden med de gyldne ører (2009) {(#1.2)}  (as Kristoffer Aagesen)  [Oliver]  <5>
Aagesen, Larry;Hellmaster (1992)  [Extra]  <25>
Aagre, Jan;Begynnelsen på en historie (1988)  [Onkel Thorstein]  <8>
Aagren, Thomas;Pusher (1996)  [Mårten]  <23>
Aagten, John;Green Sails (2000) (TV)  [General]  <22>
Aahjem, Per-Sigmund Moen;Banzai Motherfucker! (2006)  [Crackhead]  <14>
Aahøj, Brian;Beast (2011/IV)  [Falckredder]  <8>
Aaij, Laurens;De wereld draait door (2005) {(#2.80)}  [Himself]  <3> NOS Journaal (1956) {(#51.8)}  (archive footage)  [Himself]
Aakarshan, Shreyas;Xaare Aasu (2015) (V)  [Shreyas Akarshan]
Aakash (I);Anandam (2001) Andala Ramudu (2006) Babul (1986)  [Ashok] Kangalal Kaidhu Sei (2004)  <4> Karam (2005) Mumbai Mast Kallander (2011)  [Guard]  <23> Onnam Ragam (2003) Zinda Laash (1986)
Aakash (II);Mumbai Meri Jaan (2008)  [Yusuf's Friend 1]  <12>
Aakash (III);Do Dilon Ke Khel Mein (2010)
Aakash (IV);Bujjigaadu: Made in Chennai (2008)  (as Master Aakash)  [Younger Bujji] Business Man (2012)  (as Master Aakash)  [Younger Surya] Chirutha (2007)  (as Master Aakash)  [Young Charan]  <19> Dhoni (2012/I)  [Karthick Subramaniam]  <2> Gabbar Singh (2012)  (as Master Aakash)  [Gabbar Singh at age 10] The Lotus Pond (2010)  (as Aakash Petla)  [Neeraj]
Aakash (V);Achena Prem (2011)  <1>
Aakash (VI);Nesthama (2008)  [Ravi]
Aakash, Shyamal;Antaratama (2008)  [Naren]  <3>
Aakash, Ved;Baazi (1984)  <18> Sitamgar (1985)  <17>
Aakef, Tareq;The Death and Resurrection Show (2013)  [Himself]
Aakel, Tiran;Casualty (1986) {Love Hurts (#17.22)}  [Mr. Adjani]  <28> EastEnders (1985) {(2004-03-25)}  [Mr. Roche]  <27> The Bill (1984) {Sunday, Sunday (#5.20)}  [Asian Boy]  <22>
Aaker, Dee;Bigger Than Life (1956)  (uncredited)  [Joe] Mister Scoutmaster (1953)  (uncredited)  [Bit Role] Spin and Marty: The Movie (1955)  [Russel the Muscle]  <13> The Kid from Left Field (1953)  (uncredited)  [3rd Baseman] My Little Margie (1952) {Dutch Treat (#3.39)}  [Peter]  <9> Stage 7 (1955) {The Hayfield (#1.24)}  [First Newsboy]  <9> The Adventures of Spin and Marty (1955) {A Froggy Day (#1.4)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {A Surprise Decision (#1.6)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {An Introduction (#1.0)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Haunted Valley (#1.20)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Homesick (#1.7)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Logan's Lesson (#1.8)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Nothing Happens on Sunday (#1.17)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Off on the Wrong Foot (#1.23)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Perkins and the Bear (#1.18)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Perkins' Decision (#1.14)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Ride-'Em-Cowboy (#1.10)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Rope Artist (#1.16)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Runaway! (#1.19)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Skyrocket's Trick (#1.24)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {The 'Triple R' (#1.1)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {The Battle (#1.5)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {The Big Rodeo (#1.22)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {The Chase (#1.9)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {The Last Campfire (#1.25)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {The Live Ghost (#1.21)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {The Misfit (#1.2)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {The Secret Ride (#1.12)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {The Snipe Hunt (#1.11)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {The White Stallion (#1.3)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Tossing the Calf (#1.15)}  [Russell the Muscle] The Adventures of Spin and Marty (1955) {Tragedy! (#1.13)}  [Russell the Muscle]
Aaker, Gordon;Frontline (1983) {The Spill (#28.13)}  [Himself - Mechanical Engineering Consultant]
Aaker, Jared;American Heiress (2007) {Crash and Burn (#1.2)}  (credit only)  [Photographer]  <90> American Heiress (2007) {Family Reunion (#1.12)}  [The Photographer] American Heiress (2007) {Lion King (#1.1)}  (credit only)  [Photographer]  <90> Desire (2006)  [Lousy Waiter] The Chronicle (2001) {Pig Boy's Big Adventure (#1.12)}  [Crocodile Man] Tremors (2003) {Water Hazard (#1.12)}  [Security Guard]  <14> Watch Over Me (2006) {Hide and Seek (#1.40)}  [Rude Dude]
Aaker, Jedediah;Neil Stryker and the Tyrant of Time (2015)  [Sailor Thug #1]  <20>
